,Brightness,Canny Edges,Dotted Line,Fog,Glass Blur,Identity,Impulse Noise,Motion Blur,Rotate,Avg
L_inf-PGD-0.2-40 BasicNet,0.6988333463668823,0.843833327293396,0.9483333230018616,0.47733333706855774,0.9681666493415833,0.9925000071525574,0.8756666779518127,0.9416666626930237,0.9208333492279053,0.8519074088997312
L_inf-PGD-0.2-50 BasicNet,0.9135000109672546,0.8686666488647461,0.8988333344459534,0.812333345413208,0.9628333449363708,0.9921666383743286,0.784333348274231,0.9463333487510681,0.9129999876022339,0.8991111119588217
L_inf-PGD-0.3-30 BasicNet,0.16183333098888397,0.8610000014305115,0.8648332953453064,0.21400000154972076,0.921999990940094,0.9888333082199097,0.5665000081062317,0.937333345413208,0.8859999775886536,0.7113703621758355
L_inf-PGD-0.3-40 BasicNet,0.40849998593330383,0.8923333287239075,0.9126666784286499,0.40583333373069763,0.9595000147819519,0.9916666746139526,0.7046666741371155,0.9523333311080933,0.9149999618530273,0.7936111092567444
FGSM-0.3-Mixup-0.25 BasicNet,0.9235000014305115,0.8659999966621399,0.9206666350364685,0.6936666369438171,0.9393333196640015,0.9894999861717224,0.9261666536331177,0.9351666569709778,0.9106666445732117,0.9005185034539964
FGSM-0.3-Mixup-1 BasicNet,0.9038333296775818,0.8398333191871643,0.9128333330154419,0.812999963760376,0.9049999713897705,0.9851666688919067,0.8741666674613953,0.9441666603088379,0.8981666564941406,0.8973518411318461
FGSM-0.3-Mixup-4 BasicNet,0.8840000033378601,0.8793333172798157,0.9369999766349792,0.7879999876022339,0.9396666288375854,0.9828333258628845,0.8330000042915344,0.9088333249092102,0.8863333463668823,0.8932222127914429
LargeNet,0.45233333110809326,0.6658333539962769,0.9714999794960022,0.2696666717529297,0.9229999780654907,0.9948333501815796,0.8726666569709778,0.9098333120346069,0.9263333082199097,0.7762222157584296
Ensemble-3 BasicNet,0.9358333349227905,0.70333331823349,0.9781666398048401,0.7561666369438171,0.9661666750907898,0.996999979019165,0.9508333206176758,0.9558333158493042,0.9256666302680969,0.9076666500833299
Ensemble-5 BasicNet,0.9731666445732117,0.7479999661445618,0.9819999933242798,0.8816666603088379,0.9646666646003723,0.9973333477973938,0.9743333458900452,0.9710000157356262,0.9328333139419556,0.9361111058129205
Ensemble-10 BasicNet,0.9539999961853027,0.7425000071525574,0.9850000143051147,0.8286666870117188,0.9739999771118164,0.9984999895095825,0.9793333411216736,0.9776666760444641,0.9359999895095825,0.9306296308835348
Ensemble-15 BasicNet,0.9494999647140503,0.734666645526886,0.9835000038146973,0.8495000004768372,0.9714999794960022,0.9988332986831665,0.9746666550636292,0.9735000133514404,0.937666654586792,0.9303703573015001
