,0.2,0.3,0.4,0.5,Avg
BasicNet,0.5353333353996277,0.2485000044107437,0.12533333897590637,0.12516666948795319,0.25858333706855774
Cutout-7-1 BasicNet,0.4323333203792572,0.1458333283662796,0.07583333551883698,0.07583333551883698,0.1824583299458027
Cutout-7-1-FGSM-0.3 BasicNet,0.9716666340827942,0.9546666741371155,0.9168333411216736,0.9168333411216736,0.9399999976158142
Cutout-7-1-L_inf-PGD-0.3-40 BasicNet,0.9623333215713501,0.9459999799728394,0.9226666688919067,0.9226666688919067,0.9384166598320007
Cutout-7-2 BasicNet,0.35350000858306885,0.07999999821186066,0.02266666665673256,0.02266666665673256,0.11970833502709866
Cutout-7-2-FGSM-0.3 BasicNet,0.9683333039283752,0.9526666402816772,0.9149999618530273,0.9149999618530273,0.9377499669790268
Cutout-7-2-L_inf-PGD-0.3-40 BasicNet,0.9666666388511658,0.9570000171661377,0.9421666860580444,0.9421666860580444,0.9520000070333481
Cutout-7-3 BasicNet,0.41600000858306885,0.1119999960064888,0.03883333131670952,0.039000000804662704,0.15145833417773247
Cutout-7-4 BasicNet,0.46549999713897705,0.12666666507720947,0.04266666620969772,0.04266666620969772,0.1693749986588955
Cutout-7-5 BasicNet,0.28983333706855774,0.053833331912755966,0.019999999552965164,0.019999999552965164,0.09591666702181101
Cutout-10-1 BasicNet,0.5398333072662354,0.17550000548362732,0.06566666811704636,0.06566666811704636,0.21166666224598885
Cutout-10-1-FGSM-0.3 BasicNet,0.9673333168029785,0.9524999856948853,0.9136666655540466,0.9136666655540466,0.9367916584014893
Cutout-10-1-L_inf-PGD-0.3-40 BasicNet,0.9589999914169312,0.9418333172798157,0.9229999780654907,0.9229999780654907,0.9367083162069321
Cutout-10-2 BasicNet,0.4650000035762787,0.15783333778381348,0.06233333423733711,0.06233333423733711,0.1868750024586916
Cutout-10-2-FGSM-0.3 BasicNet,0.9576666355133057,0.937666654586792,0.8958333134651184,0.8958333134651184,0.9217499792575836
Cutout-10-2-L_inf-PGD-0.3-40 BasicNet,0.9465000033378601,0.9261666536331177,0.9036666750907898,0.9036666750907898,0.9200000017881393
Cutout-10-3 BasicNet,0.31716665625572205,0.06499999761581421,0.014833332970738411,0.014833332970738411,0.10295832995325327
Cutout-10-4 BasicNet,0.5558333396911621,0.1863333284854889,0.060333333909511566,0.060499999672174454,0.21575000043958426
Cutout-10-5 BasicNet,0.34166666865348816,0.09416666626930237,0.03883333131670952,0.03883333131670952,0.1283749993890524
Cutout-14-1 BasicNet,0.4581666588783264,0.17249999940395355,0.08449999988079071,0.08449999988079071,0.19991666451096535
Cutout-14-2 BasicNet,0.5069999694824219,0.1301666647195816,0.03500000014901161,0.03500000014901161,0.17679165862500668
Cutout-14-3 BasicNet,0.3479999899864197,0.08500000089406967,0.03216666728258133,0.03216666728258133,0.124333331361413
Cutout-14-4 BasicNet,0.35066667199134827,0.078166663646698,0.029666665941476822,0.029666665941476822,0.12204166688024998
Cutout-14-5 BasicNet,0.3330000042915344,0.06566666811704636,0.017999999225139618,0.017999999225139618,0.108666667714715
FGSM-0.2 BasicNet,0.9558333158493042,0.8928333520889282,0.8149999976158142,0.8149999976158142,0.8696666657924652
FGSM-0.3 BasicNet,0.9641666412353516,0.9350000023841858,0.8858333230018616,0.8858333230018616,0.9177083224058151
FGSM-0.3-Cutout-7-1 BasicNet,0.9491666555404663,0.8616666793823242,0.7423333525657654,0.7423333525657654,0.8238750100135803
FGSM-0.3-Cutout-7-2 BasicNet,0.950333297252655,0.9158332943916321,0.8548333048820496,0.8548333048820496,0.8939583003520966
FGSM-0.3-Cutout-10-1 BasicNet,0.8849999904632568,0.7493333220481873,0.6163333058357239,0.6161666512489319,0.716708317399025
FGSM-0.3-Cutout-10-2 BasicNet,0.9388332962989807,0.8806666731834412,0.7820000052452087,0.7818333506584167,0.8458333313465118
Mixup-0.25 BasicNet,0.015166666358709335,0.0009999999310821295,0.0006666666595265269,0.0006666666595265269,0.00437499990221113
Mixup-0.25-FGSM-0.3 BasicNet,0.9516666531562805,0.9246666431427002,0.8903332948684692,0.8903332948684692,0.9142499715089798
Mixup-0.25-L_inf-PGD-0.3-40 BasicNet,0.9603333473205566,0.9415000081062317,0.9144999980926514,0.9144999980926514,0.9327083379030228
Mixup-1 BasicNet,0.018166666850447655,0.0033333334140479565,0.001999999862164259,0.001999999862164259,0.006374999997206032
Mixup-1-FGSM-0.3 BasicNet,0.8306666612625122,0.7038333415985107,0.5998333096504211,0.5998333096504211,0.6835416555404663
Mixup-1-L_inf-PGD-0.3-40 BasicNet,0.9468333125114441,0.9318333268165588,0.9014999866485596,0.9014999866485596,0.9204166531562805
Mixup-2 BasicNet,0.05133333429694176,0.015333333052694798,0.010833333246409893,0.010833333246409893,0.022083333460614085
Mixup-4 BasicNet,0.04716666787862778,0.012333333492279053,0.00833333283662796,0.00833333283662796,0.019041666761040688
Mixup-4-FGSM-0.3 BasicNet,0.9206666350364685,0.8958333134651184,0.8451666831970215,0.8451666831970215,0.8767083287239075
Mixup-4-L_inf-PGD-0.3-40 BasicNet,0.922166645526886,0.9014999866485596,0.8533333539962769,0.8533333539962769,0.8825833350419998
L_inf-PGD-0.3-40-Cutout-7-1 BasicNet,0.9683333039283752,0.949999988079071,0.9021666646003723,0.9021666646003723,0.9306666553020477
L_inf-PGD-0.3-40-Cutout-7-2 BasicNet,0.968666672706604,0.949833333492279,0.8996666669845581,0.8996666669845581,0.9294583350419998
L_inf-PGD-0.3-40-Cutout-10-1 BasicNet,0.9681666493415833,0.9511666297912598,0.887499988079071,0.887499988079071,0.9235833138227463
L_inf-PGD-0.3-40-Cutout-10-2 BasicNet,0.9623333215713501,0.9428333044052124,0.8959999680519104,0.8959999680519104,0.9242916405200958
L_inf-PGD-0.3-50 BasicNet,0.9721666574478149,0.9583333134651184,0.9118333458900452,0.9118333458900452,0.9385416656732559
L_inf-PGD-0.4-30 BasicNet,0.9721666574478149,0.9543333053588867,0.9168333411216736,0.9168333411216736,0.9400416612625122
L_inf-PGD-0.4-40 BasicNet,0.9748333096504211,0.9639999866485596,0.9486666321754456,0.9486666321754456,0.959041640162468
L_inf-PGD-0.4-50 BasicNet,0.9673333168029785,0.9553333520889282,0.9383333325386047,0.9383333325386047,0.949833333492279
Mixup-0.5 BasicNet,0.015666667371988297,0.004833333194255829,0.003499999875202775,0.003666666569188237,0.006916666752658784
FGSM-0.4 BasicNet,0.9623333215713501,0.934499979019165,0.906166672706604,0.906166672706604,0.9272916615009308
FGSM-0.5 BasicNet,0.9776666760444641,0.9679999947547913,0.9511666297912598,0.9511666297912598,0.9619999825954437
L_inf PGD-0.340-Mixup-0.25 BasicNet,0.9673333168029785,0.9528332948684692,0.9166666865348816,0.9166666865348816,0.9383749961853027
L_inf PGD-0.340-Mixup-1 BasicNet,0.9444999694824219,0.9146666526794434,0.862666666507721,0.862666666507721,0.8961249887943268
L_inf PGD-0.340-Mixup-4 BasicNet,0.9428333044052124,0.8999999761581421,0.8379999995231628,0.8381666541099548,0.879749983549118
