,Max Logit,Max Softmax,Cross Entropy,Avg
BasicNet,0.955750625,0.9473050000000002,0.9537557222222222,0.952270449074074
Cutout-7-1 BasicNet,0.978459513888889,0.9679335138888889,0.9779026111111112,0.974765212962963
Cutout-7-1-FGSM-0.3 BasicNet,0.9673389027777778,0.9530874027777777,0.9661780416666667,0.9622014490740741
Cutout-7-1-L_inf-PGD-0.3-40 BasicNet,0.9588634722222222,0.9478551666666667,0.9646564027777778,0.957125013888889
Cutout-7-2 BasicNet,0.9790621666666668,0.9582903611111113,0.9794276388888888,0.9722600555555556
Cutout-7-2-FGSM-0.3 BasicNet,0.9713175000000002,0.9586903888888889,0.9771684722222223,0.9690587870370372
Cutout-7-2-L_inf-PGD-0.3-40 BasicNet,0.9728567916666667,0.9417492638888889,0.9756382222222222,0.9634147592592592
Cutout-7-3 BasicNet,0.9677417500000001,0.9592531805555554,0.9723788888888889,0.9664579398148149
Cutout-7-4 BasicNet,0.9670859166666668,0.9567495833333333,0.9676721111111111,0.9638358703703703
Cutout-7-5 BasicNet,0.9827031805555555,0.9704100555555556,0.9841321944444443,0.9790818101851851
Cutout-10-1 BasicNet,0.9786545833333334,0.9701984583333334,0.9797760555555556,0.9762096990740741
Cutout-10-1-FGSM-0.3 BasicNet,0.9808705833333334,0.966325,0.9811968194444445,0.976130800925926
Cutout-10-1-L_inf-PGD-0.3-40 BasicNet,0.9795488611111112,0.9599993055555556,0.9808978888888887,0.9734820185185185
Cutout-10-2 BasicNet,0.9826908472222221,0.9697042083333334,0.9826713750000001,0.9783554768518519
Cutout-10-2-FGSM-0.3 BasicNet,0.9754067499999999,0.9562852083333333,0.9789572777777779,0.970216412037037
Cutout-10-2-L_inf-PGD-0.3-40 BasicNet,0.9629114861111111,0.9375615277777778,0.9731344583333333,0.9578691574074075
Cutout-10-3 BasicNet,0.9823215833333334,0.9659886111111111,0.98369775,0.9773359814814815
Cutout-10-4 BasicNet,0.9829025277777778,0.9640748611111112,0.9826774166666667,0.976551601851852
Cutout-10-5 BasicNet,0.9835576111111112,0.9568807916666666,0.9842464444444444,0.974894949074074
Cutout-14-1 BasicNet,0.9807600833333334,0.9671091250000001,0.9839480833333335,0.9772724305555557
Cutout-14-2 BasicNet,0.986986986111111,0.9691925555555556,0.9885648055555556,0.9815814490740742
Cutout-14-3 BasicNet,0.9782201805555556,0.9527399027777776,0.9788281944444446,0.969929425925926
Cutout-14-4 BasicNet,0.967994486111111,0.9433894861111113,0.9722979444444445,0.9612273055555556
Cutout-14-5 BasicNet,0.963601138888889,0.925389486111111,0.9657505000000001,0.9515803749999999
FGSM-0.2 BasicNet,0.9801205277777778,0.9705189027777777,0.9701447361111111,0.9735947222222222
FGSM-0.3 BasicNet,0.9554579166666666,0.9511504722222224,0.9546052222222222,0.9537378703703704
FGSM-0.3-Cutout-7-1 BasicNet,0.9802557500000001,0.9593277361111111,0.9757821805555554,0.9717885555555555
FGSM-0.3-Cutout-7-2 BasicNet,0.9729423611111112,0.9539211944444446,0.9768903194444444,0.9679179583333334
FGSM-0.3-Cutout-10-1 BasicNet,0.978252486111111,0.9613784999999999,0.9790972222222223,0.9729094027777778
FGSM-0.3-Cutout-10-2 BasicNet,0.9739246805555555,0.9645876527777777,0.9788400277777777,0.972450787037037
Mixup-0.25 BasicNet,0.9363192222222223,0.9567704722222221,0.9175082916666666,0.9368659953703703
Mixup-0.25-FGSM-0.3 BasicNet,0.9761274583333336,0.9685229722222222,0.9747129027777778,0.9731211111111112
Mixup-0.25-L_inf-PGD-0.3-40 BasicNet,0.9583172777777778,0.9601721805555554,0.9678782083333332,0.9621225555555554
Mixup-1 BasicNet,0.9369841805555557,0.9719638888888888,0.9060933194444445,0.9383471296296296
Mixup-1-FGSM-0.3 BasicNet,0.9625890555555556,0.9534954027777778,0.9607058333333334,0.9589300972222222
Mixup-1-L_inf-PGD-0.3-40 BasicNet,0.9631023055555555,0.9631780694444445,0.972420138888889,0.9662335046296296
Mixup-2 BasicNet,0.9102480277777778,0.9695210277777778,0.8509498194444444,0.910239625
Mixup-4 BasicNet,0.9018353333333332,0.9665529305555556,0.8491432361111111,0.9058438333333333
Mixup-4-FGSM-0.3 BasicNet,0.9436124444444446,0.9388965416666665,0.9441884861111112,0.9422324907407408
Mixup-4-L_inf-PGD-0.3-40 BasicNet,0.955850388888889,0.9345646805555555,0.9481541666666666,0.9461897453703703
L_inf-PGD-0.3-40-Cutout-7-1 BasicNet,0.9704915833333333,0.9501392916666667,0.9677249722222222,0.9627852824074075
L_inf-PGD-0.3-40-Cutout-7-2 BasicNet,0.9744294027777778,0.9609808055555555,0.9779344722222223,0.9711148935185184
L_inf-PGD-0.3-40-Cutout-10-1 BasicNet,0.9729184722222224,0.9574322638888889,0.9765757361111111,0.9689754907407409
L_inf-PGD-0.3-40-Cutout-10-2 BasicNet,0.9701124861111111,0.9494974583333333,0.9711555555555554,0.9635884999999998
L_inf-PGD-0.3-50 BasicNet,0.9529513055555556,0.9413222222222222,0.9468960833333334,0.9470565370370371
L_inf-PGD-0.4-30 BasicNet,0.9617567916666667,0.956084375,0.9615345833333334,0.9597919166666667
L_inf-PGD-0.4-40 BasicNet,0.9566755555555556,0.9407485694444444,0.9479229583333334,0.9484490277777778
L_inf-PGD-0.4-50 BasicNet,0.9618613055555556,0.945016625,0.9634410416666668,0.9567729907407408
Mixup-0.5 BasicNet,0.9060300694444444,0.966644236111111,0.8738735694444445,0.9155159583333333
FGSM-0.4 BasicNet,0.9735192500000002,0.9486300694444443,0.9632587083333333,0.9618026759259258
FGSM-0.5 BasicNet,0.9675126527777778,0.9508851250000001,0.9572411527777779,0.9585463101851852
L_inf PGD-0.340-Mixup-0.25 BasicNet,0.9431042361111113,0.9620613333333334,0.9560088055555556,0.9537247916666667
L_inf PGD-0.340-Mixup-1 BasicNet,0.9487014861111112,0.9571940416666667,0.9413799166666668,0.9490918148148149
L_inf PGD-0.340-Mixup-4 BasicNet,0.9360885972222223,0.9649939166666665,0.9236929583333333,0.941591824074074
L_inf-PGD-0.2-30 BasicNet,0.9681805555555556,0.9640975277777778,0.9739661944444444,0.9687480925925925
L_inf-PGD-0.2-40 BasicNet,0.9748467222222222,0.9714559027777778,0.9725555138888888,0.972952712962963
L_inf-PGD-0.2-50 BasicNet,0.9770415555555556,0.9676749444444445,0.9732136805555557,0.9726433935185187
L_inf-PGD-0.3-30 BasicNet,0.9579024722222222,0.9498222916666668,0.959824361111111,0.9558497083333334
L_inf-PGD-0.3-40 BasicNet,0.9630646111111111,0.9617196666666666,0.9634599722222222,0.9627480833333334
FGSM-0.3-Mixup-0.25 BasicNet,0.9645641111111112,0.9704678194444445,0.9624089305555555,0.9658136203703704
