,expected calibration error,rms calibration error,brier score,negative log likelihood
BasicNet,0.0013093248754738696,7.797943451531383e-05,0.003997559347341546,40.96422193944454
Cutout-7-1 BasicNet,0.0015055113534133292,0.00021329471692961558,0.0038966988612446586,34.6414053235203
Cutout-7-1-FGSM-0.3 BasicNet,0.005219799975554161,0.0003421436282599783,0.007274415213226651,98.82905925810337
Cutout-7-1-L_inf-PGD-0.3-40 BasicNet,0.011107279797395073,0.001099600484599694,0.01126019912896057,167.03896382451057
Cutout-7-2 BasicNet,0.002142762213945345,0.00026424961693554766,0.00585194978973171,53.00152294430882
Cutout-7-2-FGSM-0.3 BasicNet,0.00588425106306873,0.00029535933234137293,0.009678414643742144,128.6631237566471
Cutout-7-2-L_inf-PGD-0.3-40 BasicNet,0.007413457279404,0.00045431044538485544,0.012602310477445523,166.81758856773376
Cutout-7-3 BasicNet,0.0019796816259621945,0.00025937981794111904,0.004239222648892186,40.1040283315815
Cutout-7-4 BasicNet,0.0025055391689141407,0.00012013680248762766,0.006352555586141534,56.41998429223895
Cutout-7-5 BasicNet,0.0014163717528183923,0.00021848103547503914,0.005076790144342037,49.6695074532181
Cutout-10-1 BasicNet,0.0023495355248451563,0.00015060694678243944,0.005334659236129785,42.947366441600025
Cutout-10-1-FGSM-0.3 BasicNet,0.008633977020780293,0.0007157271147112131,0.007995489924835663,125.39748571813107
Cutout-10-1-L_inf-PGD-0.3-40 BasicNet,0.009394444450736021,0.000622004514964161,0.01267192364235719,183.9701600074768
Cutout-10-2 BasicNet,0.0021495164980490926,0.00011104019616273286,0.006229061335341006,46.024453869089484
Cutout-10-2-FGSM-0.3 BasicNet,0.004853131403525748,0.0003096059779122978,0.012717872688236336,153.44075328111649
Cutout-10-2-L_inf-PGD-0.3-40 BasicNet,0.01699236231048902,0.001173756631143426,0.01905262000610431,297.19044983386993
Cutout-10-3 BasicNet,0.0021086966296036515,0.00034779261845030077,0.007074863880106325,63.138359256088734
Cutout-10-4 BasicNet,0.0034587912062803857,0.000133930200846536,0.009435279640626201,66.01108864322305
Cutout-10-5 BasicNet,0.007536293079455663,0.0002912410640990996,0.013163262136968114,72.97856527380645
Cutout-14-1 BasicNet,0.0024431106100480235,0.00025277367361160245,0.00688484874801361,54.27440990880132
Cutout-14-2 BasicNet,0.004145811229944181,0.00034201922562432255,0.009640754974806138,66.93052005395293
Cutout-14-3 BasicNet,0.004926654289166179,0.00019421544587940346,0.011291002283794418,73.68811414390802
Cutout-14-4 BasicNet,0.005509143744905745,0.00023772439061229257,0.012031626125176748,84.79679675400257
Cutout-14-5 BasicNet,0.008675244395931555,0.0005100739489539523,0.018290867320805166,128.53148686885834
FGSM-0.2 BasicNet,0.0030636213769515185,0.0004414859778895054,0.00406700352759799,49.34676701948047
FGSM-0.3 BasicNet,0.003371331532796206,0.00026791653845527954,0.007976410759845749,93.30645459890366
FGSM-0.3-Cutout-7-1 BasicNet,0.0019085797518491503,0.00011068052778696727,0.00700800497965732,71.04386357963085
FGSM-0.3-Cutout-7-2 BasicNet,0.003852043862144145,0.00048048377699722397,0.00954859143536305,112.17510651051998
FGSM-0.3-Cutout-10-1 BasicNet,0.00931079015135763,0.0005419520834498667,0.006335562613171836,113.09085863828659
FGSM-0.3-Cutout-10-2 BasicNet,0.004145521208643923,0.00029375577071148864,0.009448190074724456,113.28766760230064
Mixup-0.25 BasicNet,0.026882803867260642,0.0017846804717874172,0.005703673139214516,205.94830906391144
Mixup-0.25-FGSM-0.3 BasicNet,0.04276697627703356,0.0033910601574315157,0.015681824694077175,406.07307624816895
Mixup-0.25-L_inf-PGD-0.3-40 BasicNet,0.058599307852486855,0.006051310158062103,0.018874261111021043,519.2233226299286
Mixup-1 BasicNet,0.04607208308577537,0.0038719051682678755,0.011364782067636648,370.52679562568665
Mixup-1-FGSM-0.3 BasicNet,0.13887904606262846,0.02335580533724551,0.040715232531229655,1162.0673322677612
Mixup-1-L_inf-PGD-0.3-40 BasicNet,0.12396370076388119,0.019908471829169612,0.03881343658765157,1072.107681274414
Mixup-2 BasicNet,0.07154871523876992,0.008686119238211243,0.01711351914703846,552.8598535060883
Mixup-4 BasicNet,0.061461093266805024,0.008665591732993878,0.019214611242214838,524.493611574173
Mixup-4-FGSM-0.3 BasicNet,0.12806490063170592,0.02152557631861839,0.04969115360577901,1214.8140869140625
Mixup-4-L_inf-PGD-0.3-40 BasicNet,0.15448608509202796,0.03067166460068176,0.06138662246863047,1468.531623840332
L_inf-PGD-0.3-40-Cutout-7-1 BasicNet,0.009735154380400948,0.0008414763614545982,0.009807014195015654,150.64145863056183
L_inf-PGD-0.3-40-Cutout-7-2 BasicNet,0.006049515475829407,0.0003479285852575725,0.009439088295524319,123.70781970024109
L_inf-PGD-0.3-40-Cutout-10-1 BasicNet,0.004411139821012862,0.0003569570513321905,0.009636612580157817,111.13315179944038
L_inf-PGD-0.3-40-Cutout-10-2 BasicNet,0.006570631841818522,0.0003117785026274012,0.010109651962528006,139.18565526604652
L_inf-PGD-0.3-50 BasicNet,0.003836591983834831,0.0003095169555206728,0.007433583019786359,92.97039332985878
L_inf-PGD-0.4-30 BasicNet,0.0056602776447932605,0.00035377193614450676,0.006255739349716654,90.33664973080158
L_inf-PGD-0.4-40 BasicNet,0.0068727214038372085,0.0003576206129974931,0.009459521151458223,131.05527889728546
L_inf-PGD-0.4-50 BasicNet,0.007212429712216022,0.0004545182422854359,0.01081221752994073,142.21074622869492
Mixup-0.5 BasicNet,0.04484316240251064,0.003881209591728068,0.008930645475784937,332.63426423072815
FGSM-0.4 BasicNet,0.005953741669654851,0.00036141560708856125,0.009646116824975858,125.44288724660873
FGSM-0.5 BasicNet,0.0066813214619954805,0.0005451326326428357,0.006190872773993761,96.02207477390766
L_inf PGD-0.340-Mixup-0.25 BasicNet,0.019535745064417586,0.00115166463567577,0.009730484502700467,212.0412449836731
L_inf PGD-0.340-Mixup-1 BasicNet,0.057488522897164024,0.005088315320406912,0.019645298818747204,535.6345698833466
L_inf PGD-0.340-Mixup-4 BasicNet,0.06153297735750672,0.00751324320004835,0.020369957844416302,546.3366134166718
L_inf-PGD-0.2-30 BasicNet,0.0020643916527429778,9.196151540593372e-05,0.006704175689495362,72.93439105898142
L_inf-PGD-0.2-40 BasicNet,0.005038680836558341,0.0003122230507194749,0.00475622200112169,74.45211435854435
L_inf-PGD-0.2-50 BasicNet,0.004136628607908905,0.00034897135015834693,0.005185504836554174,64.24100911617279
L_inf-PGD-0.3-30 BasicNet,0.006830146829287275,0.0003856366411654112,0.008025102855016788,119.85556721687317
L_inf-PGD-0.3-40 BasicNet,0.005680459360281646,0.0005618858372382663,0.006895592268022786,91.89844520390034
FGSM-0.3-Mixup-0.25 BasicNet,0.022290116717418026,0.0013227613252800874,0.008547158119579156,210.97442817687988
FGSM-0.3-Mixup-1 BasicNet,0.10439762931565441,0.016524892289102013,0.027767687022686005,818.5404000282288
FGSM-0.3-Mixup-4 BasicNet,0.05189998725553345,0.005794178727763489,0.018005972504615785,475.5382013320923
LargeNet,0.0027730106711386948,0.00011863524281545438,0.004876638610283635,33.14743861043826
Ensemble-3 BasicNet,0.0005613206028937955,0.00012104461290842921,0.0016156676835751493,14.475288024172187
Ensemble-5 BasicNet,0.0009798698872328024,0.00012999606462198057,0.0009701087654260997,12.367548566777259
Ensemble-10 BasicNet,0.0008264056344826495,0.00011545910975165483,0.0005693278054783543,8.768600275623612
Ensemble-15 BasicNet,0.000813136567672054,0.00011364428581832204,0.0005561247789139354,8.052245570579544
